table,task,model,field,stat,solver_steps,point,ci_lo,ci_hi,n_groups,n_rows
displacement,PickCube-v1,170m,l2_active_at_k5,median,1,1.4619337320327759,1.0836663246154785,1.7866544723510742,8,49
displacement,PickCube-v1,170m,l2_active_at_k5,median,2,1.342370629310608,0.9598856568336487,1.6444257497787476,8,49
displacement,PickCube-v1,170m,l2_active_at_k5,median,3,1.3263520002365112,1.052026629447937,1.6789215803146362,8,49
displacement,PickCube-v1,170m,l2_active_at_k5,median,5,1.4581561088562012,1.1708124279975891,1.9360742568969727,8,49
displacement,PickCube-v1,170m,l2_active_at_k5,median,10,1.440248966217041,1.259871780872345,2.190563678741455,8,49
displacement,PickCube-v1,170m,l2_active_at_k5,median,20,1.492247223854065,1.1887980699539185,2.1997772455215454,8,49
displacement,PickCube-v1,1b,l2_active_at_k5,median,1,0.7852177619934082,0.7118011713027954,0.8715608716011047,40,120
displacement,PickCube-v1,1b,l2_active_at_k5,median,2,0.76446932554245,0.6899552047252655,0.8496283888816833,40,120
displacement,PickCube-v1,1b,l2_active_at_k5,median,3,0.7865572571754456,0.6649652719497681,0.8934633731842041,40,120
displacement,PickCube-v1,1b,l2_active_at_k5,median,5,0.8319315314292908,0.6330446600914001,0.9178701639175415,40,120
displacement,PickCube-v1,1b,l2_active_at_k5,median,10,0.8864279091358185,0.6355268955230713,1.010953426361084,40,120
displacement,PickCube-v1,1b,l2_active_at_k5,median,20,0.9170408546924591,0.6760172843933105,1.1146270036697388,40,120
displacement,StackCube-v1,170m,l2_active_at_k5,median,1,1.5587215423583984,1.2666125893592834,1.711822509765625,8,50
displacement,StackCube-v1,170m,l2_active_at_k5,median,2,1.2357011437416077,1.0301241874694824,1.292445182800293,8,50
displacement,StackCube-v1,170m,l2_active_at_k5,median,3,1.2112262845039368,1.0186502635478973,1.3452330827713013,8,50
displacement,StackCube-v1,170m,l2_active_at_k5,median,5,1.3088329434394836,0.8486945629119873,1.697488784790039,8,50
displacement,StackCube-v1,170m,l2_active_at_k5,median,10,1.2829886078834534,0.9165539145469666,2.1470597982406616,8,50
displacement,StackCube-v1,170m,l2_active_at_k5,median,20,1.4149341583251953,0.9492775797843933,2.3667409420013428,8,50
displacement,StackCube-v1,1b,l2_active_at_k5,median,1,0.8548243343830109,0.6485443711280823,1.12883460521698,25,110
displacement,StackCube-v1,1b,l2_active_at_k5,median,2,0.7756507694721222,0.5167267918586731,1.1904860734939575,25,110
displacement,StackCube-v1,1b,l2_active_at_k5,median,3,0.7975491583347321,0.5047070384025574,1.1883147358894348,25,110
displacement,StackCube-v1,1b,l2_active_at_k5,median,5,0.7991800308227539,0.47544267773628235,1.1990365982055664,25,110
displacement,StackCube-v1,1b,l2_active_at_k5,median,10,0.7160102725028992,0.5586716532707214,1.097414493560791,25,110
displacement,StackCube-v1,1b,l2_active_at_k5,median,20,0.9206520020961761,0.6750478744506836,1.211499571800232,25,110
displacement,PickCube-v1,170m,rel_active_at_k5,median,1,0.06299219280481339,0.04787352681159973,0.0779038742184639,8,49
displacement,PickCube-v1,170m,rel_active_at_k5,median,2,0.051752783358097076,0.039473775774240494,0.06259111501276493,8,49
displacement,PickCube-v1,170m,rel_active_at_k5,median,3,0.05258187651634216,0.04015415534377098,0.05785321071743965,8,49
displacement,PickCube-v1,170m,rel_active_at_k5,median,5,0.05136356130242348,0.04452977702021599,0.06189821474254131,8,49
displacement,PickCube-v1,170m,rel_active_at_k5,median,10,0.05459096282720566,0.04487806186079979,0.06752055883407593,8,49
displacement,PickCube-v1,170m,rel_active_at_k5,median,20,0.053876493126153946,0.04157037101686001,0.06376004964113235,8,49
displacement,PickCube-v1,1b,rel_active_at_k5,median,1,0.08417883142828941,0.07499617710709572,0.09633366763591766,40,120
displacement,PickCube-v1,1b,rel_active_at_k5,median,2,0.08102961257100105,0.07146625220775604,0.09345576167106628,40,120
displacement,PickCube-v1,1b,rel_active_at_k5,median,3,0.08125181868672371,0.0717494823038578,0.09749526530504227,40,120
displacement,PickCube-v1,1b,rel_active_at_k5,median,5,0.08527782186865807,0.07219129800796509,0.0991368517279625,40,120
displacement,PickCube-v1,1b,rel_active_at_k5,median,10,0.09218251332640648,0.06963381916284561,0.10713531449437141,40,120
displacement,PickCube-v1,1b,rel_active_at_k5,median,20,0.09356916323304176,0.0715709924697876,0.11408274620771408,40,120
displacement,StackCube-v1,170m,rel_active_at_k5,median,1,0.06023185886442661,0.05442260950803757,0.07673252373933792,8,50
displacement,StackCube-v1,170m,rel_active_at_k5,median,2,0.046330757439136505,0.037298690527677536,0.05093129351735115,8,50
displacement,StackCube-v1,170m,rel_active_at_k5,median,3,0.044437162578105927,0.03434659726917744,0.05073745921254158,8,50
displacement,StackCube-v1,170m,rel_active_at_k5,median,5,0.04383494518697262,0.03182009607553482,0.06316424161195755,8,50
displacement,StackCube-v1,170m,rel_active_at_k5,median,10,0.04179808124899864,0.03274774011224509,0.07321251183748245,8,50
displacement,StackCube-v1,170m,rel_active_at_k5,median,20,0.04527817852795124,0.032920707017183304,0.08264147490262985,8,50
displacement,StackCube-v1,1b,rel_active_at_k5,median,1,0.09416475519537926,0.0703105553984642,0.11577384173870087,25,110
displacement,StackCube-v1,1b,rel_active_at_k5,median,2,0.07744169980287552,0.04864684119820595,0.1382150501012802,25,110
displacement,StackCube-v1,1b,rel_active_at_k5,median,3,0.08138816803693771,0.05066198110580444,0.12568556889891624,25,110
displacement,StackCube-v1,1b,rel_active_at_k5,median,5,0.08407577499747276,0.04884661175310612,0.12200551480054855,25,110
displacement,StackCube-v1,1b,rel_active_at_k5,median,10,0.07679041102528572,0.056143470108509064,0.10865674167871475,25,110
displacement,StackCube-v1,1b,rel_active_at_k5,median,20,0.09466643631458282,0.06303940713405609,0.12116717547178268,25,110
