table,task,model,field,stat,point,ci_lo,ci_hi,n_groups,n_rows
targets,PickCube,170m_logpi,vision_gap,median_abs,0.012034548446536064,0.009067832492291927,0.01565513387322426,30,699
targets,PickCube,170m_logpi,vision_err,pct_le3,76.82403433476395,69.03013529237583,83.6850255857797,30,699
targets,PickCube,170m_logpi,vision_insertion_auc,median,0.8834416169441943,0.8452174562109299,0.9087690168948209,30,750
targets,PickCube,170m_logpi,vision_deletion_auc,median,0.44790320720927845,0.4083778369786704,0.5041986293088851,30,750
targets,PickCube,170m_logpi,vision_dlogp_k5,median,-0.0014453140902332962,-0.0019521701615303755,-0.001007785671390593,30,750
targets,PickCube,170m_l2,vision_gap,median_abs,3.51046581404114,3.047204209732058,4.003854228424075,30,699
targets,PickCube,170m_l2,vision_err,pct_le3,10.586552217453505,6.346967559943582,16.133836120233227,30,699
targets,PickCube,170m_l2,vision_insertion_auc,median,0.7564904598101228,0.7007084331837515,0.8032105424389369,30,750
targets,PickCube,170m_l2,vision_deletion_auc,median,0.2830072650413369,0.2533929871914987,0.3262270618003049,30,750
targets,PickCube,170m_l2,vision_dlogp_k5,median,-1.2299035324325587,-1.3849623932113673,-0.9857500030269648,30,750
targets,PickCube,170m_maxdev,vision_gap,median_abs,0.43896484375,0.3818359375,0.484375,30,699
targets,PickCube,170m_maxdev,vision_err,pct_le3,11.015736766809727,7.032348804500703,15.683453237410072,30,699
targets,PickCube,170m_maxdev,vision_insertion_auc,median,0.7241477272727272,0.6825310150375941,0.7804926951172626,30,750
targets,PickCube,170m_maxdev,vision_deletion_auc,median,0.26917467948717944,0.23083347602739723,0.33499999999999996,30,750
targets,PickCube,170m_maxdev,vision_dlogp_k5,median,-0.15625,-0.21875,-0.125,30,750
